access point, 無線網路存取器；無線基地台
CAI, 電腦輔助教學（英文簡稱）
call, 呼叫
catalog, 型錄
CD-R, 可錄式光碟（英文簡稱）
cell, 儲存格
cell phone, 行動電話
central processing unit, 中央處理單元
certificate, 憑證；認證
certificate authority, 憑證授權（管理）（CA）；認證機構
character, 字元；字符；（事物的）特性
chat, 聊天
chief information officer, 資訊長
child domain, 子網域
CIO, 資訊長（英文簡稱）
click, 按下的聲音；單擊滴答聲
client, 用戶端；客戶端
client-server LAN, 主從式區域網路
clone computer, 克隆電腦；複製的電腦
cloud computing, 雲端運算
coaxial cable, 同軸電纜
co-location, 主機代管
communication, 通訊；網路通訊
community, 社群
compatible, 相容的
compile, 編譯
computer crime, 電腦犯罪
computer forensics, 電腦鑑識
computer monitoring, 電腦監控
computer software, 電腦軟體
computer vision, 電腦視力；電腦視覺
computer-aided design, 電腦輔助設計
computer-aided manufacturing, 電腦輔助製造
computer-assisted instruction, 電腦輔助教學
computing, 運算
conference call, （網路）電話會議
confidentiality, 機密性
constant, 常數
content, 內容
content management, 內容管理
control unit, 控制單元
control, 控制
conversion, 轉換
copyright, 版權；著作權
core, 核心
cost, 成本
CPU, 中央處理單元（英文簡稱）
cracker, 怪客；破壞者
critical thinking, 批判性思考
CRM, 顧客關係管理（英文簡稱）
CTO, 科技長（縮寫）
culture, 文化
customer relationship management, 顧客關係管理
customization, 客製化
cyber, 網路的；電腦的
cycle, 週期；循環
dashboard, 儀錶板
data, 資料
data bus, 資料匯流排
data center, 資訊中心
data definition, 資料定義
data dictionary, 資料字典（DD）
data flow, 資料流
data fiow diagram, 資料流程（向）圖
data integration, 資料整合
data management, 資料管理
data management software, 資料管理軟體
data manipulation, 資料操縱（尤指操作性技術）
data mining, 資料探勘；資料挖掘
data processing, 資料處理
data redundancy, 資料重複（多餘）
data structure, 資料結構
data transfer rate, 資料傳輸率
data warehouse, 資料倉儲
data worker, 資料工作者
database, 資料庫
database administrator, 資料庫管理員（DBA）
data management system, 資料庫管理系統
database server, 資料庫伺服器
data-driven, 資料導向
datagram, 數據包；資料包
date, 日期
DB, 資料庫（的英文簡稱）
DBA, 資料庫管理員（英文簡稱）
DBMS, 資料庫管理系統（英文簡稱）
DDoS, 分裂（散）式阻斷服務（英文簡稱）
debug, 除錯；偵錯
decision support system, 決策支援系統
decryption, 解密
deep packet, 深層封包
demand, 需求
design, 設計
desktop, 桌面
desktop computer, 桌上電腦
detection system, 偵測系統
development, 開發；發展
DFD, 資料流程圖（英文簡稱）
diagram, 圖表；圖解
digital, 數位
digital asset, 數位資產
digital camera, 數位相機
digital certificate, 數位憑證（認證）
digital content, 數位內容
digital divide, 數位區隔；數位落差
digital signal, 數位信號
digital video disc, 數位影音光碟（DVD）
direct, 直接的；坦白的
disaster, 災難
disaster recovery, 災難復原
disk cache, 磁碟快取（記憶體）
display, 顯示器
disruptive, 破壞性的；分裂的
disruptive technology, 破壞性科技
distance instruction, 遠距教學
distribute, 分散；分配；散發；分佈
distributed, 分散式
distributed processing, 分散式處理
distributed processing system, 分散式處理系統
DIY, 自己做（組裝）（英文簡稱）
DNS, 網域名稱系統（英文簡稱）
do it yourself, 自己做（組裝）
documentation, 使用說明
domain, 網域；領域；範圍
domain name, 網域名稱
domain name system, 網域名稱系統
domestic exporter, （國內的）出口商
DOS, 磁片作業系統
DoS, 阻斷服務（英文簡稱）
double click, 按兩下
download, 下載
download information, 下載資料
downstream, 下游的；下傳的（資料）
downstream data, 下流（游）的資料
downtime, 停機時間
doze mode, 休眠模式
DPI, 每英吋的點數（英文簡稱）；解析度（衡量印表機或是螢幕品質用）；深層封包檢測（的英文簡稱）
DRAM, 動態隨機存取記憶體（英文簡稱）
drill down, 向下探究；詳細分解；向下鑽取
DSL, 數位用戶路線；迴路（英文簡稱）
DSS, 決策支援系統（英文簡稱）
due, 應有的；到期的；預定的；應付的
duplication, 複製；完全相同的複製品
DVD, 數位多功能（影音）光碟（英文簡稱）
dynamic, 動態的
e-book, 電子書（英文簡稱）
e-business, 電子化企業
EC, 電子商務（英文簡稱）
e-commerce, 電子商務
EFT, 電子金融轉帳（縮寫）
e-government, 電子化政府
EIS, 高階主管資訊系統（英文簡稱）
e-learning, 數位學習（英文簡稱）
electronic business, 電子化企業
electronic commerce, 電子商務
electronic government, 電子化政府
electronic payment services, 電子付費服務（s）
electronic payment system, 電子付款服務
electronic signature, 電子簽章
e-mail, 電子郵件（英文簡稱）
encryption, 加密
end users, 終端使用者
engineering, 工程
enterprise, 企業
enterprise information portal, 企業資訊入口網站
entity relationship, 實體關係
EPS, 電子付費服務（英文簡稱）
ERP, 企業資源規劃（縮寫）
ES, 專家系統（縮寫）
Ethernet, 乙太網路
exchange, 交易
executable code, 可執行碼
executive, 行政主管；決策者；執行指令；行政的；決策的
executive information system, 高階主管資訊系統
Facebook, 臉書（一種手機與電腦皆可連線的服務平台）
FALSE, 假
FAT, 檔案配置表（英文簡稱）
feedback, 回饋
fiber, 光纖
field, 欄位或區域
field name, 欄位名稱
FIFO, 先進先出（英文簡稱）
file, 檔案
file processing, 檔案處理
file type, 檔案類型
firewall, 防火牆
flash ROM, 快閃記憶體
flowchart, 流程圖
font, 字型
forensics, 鑑識（s）；辯論練習；辯論術
formatted disk, 已格式化的磁碟
frame, 框架
freeware, 自由軟體；免費軟體
FTP, 檔案傳輸協定（英文簡稱）
function, 函數
gateway, 閘道器
GB, 十億位元組（英文簡稱）
geographic information system, 地理資訊系統（GlS）
GHz, 十億赫茲（英文簡稱）
gigabyte, 十億位元組
gigahertz, 十億赫茲
GlS, 地理資訊系統（英文簡稱）
global positioning system, 全球定位系統
GPS, 全球定位系統（英文簡稱）
graphics, 圖形；製圖；製圖法；繪圖學；圖解計算
GUI, 圖形化使用介面（英文簡稱）
hacker, 駭客
hard disk, 硬碟
HDD, 硬式磁碟機
HDMl, 高清晰度多謀體介面（英文簡稱）
Hertz, 赫茲
hide, 隱藏
home page, 首頁
host, 主機
HTML, 超文字標記語言（英文簡稱）
hub, 集線器
hyperlink, 超連結
hypemedia, 超媒體
hypertext, 超文件；超文字
hypertext markup language, 超文字標記語言
hypertext transfer protocol, 超文字傳輸協定（HTTP）
IaaS, 基礎建設即服務（英文簡稱）
IC, 積體電路（英文簡稱）
icon, 圖示
ICT, 資訊與網路通訊科技（英文簡稱）
IEEE, 國際電機電子工程協會（英文簡稱）
IM, 即時通訊（英文簡稱）
image, 影像
impact, 影響；衝擊；撞擊力
implementation process, 建置流程
infomediary, 資訊中介
inform, 告知後；通知
information, 資訊
information and communication technology, 資訊與網路通訊科技
information appliance, 資訊家電
information processing, 資訊處理
information requirement, 資訊需求
information system, 資訊系統
information technology, 資訊科技
infrastructure, 基礎建設
infrastructure as a service, 基礎建設即服務
input, 輸入
input device, 輸入設備
input unit, 輸入單元
insertion sort, 插入排序法
installation, 安裝
instant messaging, 即時通訊
intangible, 無形的；不明確的
integrated circuit, 積體電路
integrated circuit card, ＩＣ卡
integrated package, 整合式套件
integrity, 完整性；完善；正直；誠實
Intel, 英特爾（公司名）
intellectual property, 智慧財產
intelligence, 智慧；智能；情報；情報的工作或機構
internal code, 內碼
internal modem, 內置式數據機
Internet, 網際網路
Internet bank, 網路銀行
Internet protocol, 網際網路協定（IP）
internetwork processor, 跨網處理器
iOS, 一種 iPhone 手機的作業系統
IP, 網際網路協定（英文簡稱）
IS, 資訊系統（英文簡稱）
ISBN, 國際標準書號（英文簡稱）
ISO, 國際標準組織（英文簡稱）
jumper, 跳線（片或夾子）
KB, 千位元組（縮寫）
key word, 關鍵字
keyboard, 鍵盤
KHz, 千赫茲（英文簡稱）
kilobyte, 千位元組（KB）
kilohertz, 千赫茲
knowledge engineer, 知識工程師
knowledge worker, 知識工作者
label, 標籤
LAN, 區域網路（英文簡稱）
language, 語言
laptop, 膝上型電腦
laser printer, 雷射印表機
LCD, 液晶顯示器（英文簡稱）
LED, 發光二極體
Lenovo, 聯想
life cycle, 生命週期
LIFO, 後進先出（英文簡稱）
light emitting diode, 發光二極體（LED）
Line, 在線（一種手機與電腦皆可連線的通訊服務）
line interactive, 在線互動式
link, 連結
linker, 連結程式
Linux, 一種免費、多用戶、多工的作業系統
liquid crystal display, 液晶顯示器
literacy, 素養
loader, 載入程式
local area network, 區域網路
log off, 登出
log on, 登入
logical partition, 邏輯分割區
machine, 機器
Macintosh, 麥金塔（電腦）
macro, 巨集
main memory, 主記憶體
malicious program, 惡意程式
MAN, 都會網路（英文簡稱）
management, 管理
management information systems, 資訊管理系統
manipulation, （巧妙地）處理；操縱；操作；控制
marketing, 行銷
marketplace, 市集；集會場所
MB, 百萬位元組（縮寫）
medium, 媒體；媒介；中間的
megabyte, 百萬位元組
megahertz, 百萬赫茲
memory, 記憶體
memory unit, 記憶單元
menu, 功能表
message box, 訊息視窗
metadata, 定義的資料；詮釋資料
Metcalfe's law, 梅特卡夫定律
method, 方法
MHz, 百萬赫茲（英文簡稱）
microphone, 麥克風
microprocessor, 微處理器
microsecond, 微秒
Microsoft, 微軟（一種知名軟體品牌）
microwave, 微波
midrange system, 中型系統
millennium, 千禧年
millisecond, 毫秒
mobile communication, 行動通訊
mobile network, 行動網路
mobile wallet, 手機錢包
model, 模型
modem, 數據機
modulation, 調變
module, 模組
monitor, 顯示器
motherboard, 主機板
mouse, 滑鼠
MU, 記憶單元（英文簡稱）
multicore, 多核心的；多芯的
multiplexer, 多工器
nano, 奈米
nanosecond, 奈秒
NAT, 網址解析（英文簡稱）
network, 網路
network address translation, 網址解析
network interface card, 網路介面卡（NIC）
network operating system, 網路作業系統
network server, 網路伺服器
network terminal, 網路終端機
NIC, 網路卡（英文簡稱）
NII, 國家資訊基礎建設（英文簡稱）
node, 節點
Nokia, 諾基亞
non-repudiation, 不可否認性
normalization, 正規化
notebook, 筆記型（電腦）
N-tier client-server architecture, 多層式主從式架構
OA, 辦公室自動化（英文簡稱）
object, 物件
object-oriented language, 物件導向語言
OCR, 光學字元辨識軟體（英文簡稱）
office automation, 辦公室自動化
offine, 離線
offshoring, 境外（委外或外包）
OLAP, 線上分析處理（英文簡稱）
OLE, 物件連結與崁入（英文簡稱）
OLTP, 線上交易處理（英文簡稱）
on-demand, 隨需；即需
online analytical processing, 線上分析處理
online transaction, 線上交易
online transaction processing, 線上交易處理（英文簡稱）
open source, 開放原始（碼）
open standard, 開放式標準
open system, 開放式系統
operating system, 作業系統
operation, 營運
optical disc, 光碟
optimization, 優化；最佳化
option button, 選項按鈕
OSI, 開放式系統互聯（英文簡稱）
OSI model, 開放式系統互聯模型
OU, 輸出單元（英文簡稱）
output, 輸出
output unit, 輸出單元
outsourcing, 外包
P P, 點對點對等式（英文簡稱）
pad, 平板；墊子
pages per minute, 每分鐘列印的頁數（s）
parallel transmission, 並列傳輸
parameter, 參數
password, 密碼
patch, （軟體）修補；補丁；眼罩
patent, 專利；有專利的
payment, 付費
PC, 個人電腦（英文簡稱）
PCI, 周邊元件互聯（擴充槽）（英文簡稱）
PDA, 個人數位助理（英文簡稱）
people resource, 人力資源
peripheral, 周邊設備
personal computer, 個人電腦
personal information, 個人資訊
pharming, 網址嫁接；網域欺騙技術
phishing, 網路釣魚
pivot table, 樞紐分析表；關鍵的報表
pixel, 像素；畫素；圖素
plan, 開發計劃
PnP, 隨插即用（英文簡稱）
point-point protocol, 點對點協定
POP, 處理（收信）郵件通訊協定（英文簡稱）
portability, 可攜型
portable computer, 可攜型電腦；筆記型電腦
portal, 入口網站
POS, 銷售時點（管理）（英文簡稱）
POST, 開機自我測試（英文簡稱）
post office protocol, 郵局（收信）協定
power cord, 電源線
power supply, 電源供應器
power-on self test, 開機自我測試
PPM, 每分鐘列印的頁數（英文簡稱）
PPTP, 點對點通道協定（英文簡稱）
presentation, 簡報；報告；介紹；陳述；贈送物
primary key, 主鍵（欄位）
primary partition, 主要分割區
printer, 印表機
private, 私有的
private key, 私密金鑰
procedure, 程序
process, 過程；處理
process control system, 流程控制系統
processor, 處理器
production, 生產
progam, 程式
programming, 程式（設計）
programming language, 程式語言
project, 專案
projector, 投影機
property, 屬性；財產；所有權；內容
protocol, 協定
pseudo code, 虛擬碼
PSTN, 公眾電話網路（英文簡稱）
public key, 公開金鑰
QR code, 快速反應（二維）碼（英文簡稱）
queue, 佇列
quick response code, 快速反應（二維）碼
quick sort, 快速排序法
radio frequency, 無線電射頻（ＲＦ）
RAID, 獨立磁碟冗餘（重複）陣列（縮寫）
RAM, 隨機存取記憶體（英文簡稱）
radom access memory, 隨機存取記憶體
read-only memory, 唯讀記憶體
recharge battery, 可充電式電池
record, 紀錄
recovery, 恢復
referential integrity, 參照完整性
refresh rate, 更新率
relational database, 關聯式資料庫
relational model, 關聯式模型
relationship, 關係
replication, 覆寫；（精確的）複製品或是按比例縮小的複製品
requirement, 需求；要求
resolution, 解析度；分辨率
revenue model, 獲利模式；收入模式
RFID, 無線（電）辨識（英文簡稱）
ring, 環狀
risk, 風險
ROM, 唯讀記憶體（英文簡稱）
router, 路由器
routing, 規劃路徑（網路）
RPM, 每分鐘旋轉圈數（英文簡稱）
SaaS, 軟體即時服務（的英文簡稱）
Samsung, 森松；三星（一種知名的手機品牌）
SATA, 串（序）列先進科技附加排線（英文簡稱）
satellite, 通訊衛星
scanner, 掃描器
SCM, 供應鏈管理（縮寫）
SCSI, 小型電腦系統介面（英文簡稱）
SD, 安全數位（卡）（英文簡稱）
SDHC, 安全數位高容量（卡）（英文簡稱）
SDLC, 系統開發生命週期（英文簡稱）
SDRAM, 同步動態隨機存取記憶體（英文簡稱）
SDXC, 安全數位延伸高容量（卡）（英文簡稱）
search engine, 搜尋引擎
secondary storge, 次級儲存體
sector, 磁區
secure digital, 安全數位（卡）（ＳＤ）
secure digital extended capacity, 安全數位延伸高容量（卡）
secure digital high capacity, 安全數位高容量（卡）
secure electronic transactions, 安全電子交易
semiconductor memory, 半導體記憶體
senior, 高階的；資深的；大四學生；長輩
serial port, 序列埠
serial transmission, 串列傳輸
server, 伺服器
SET, 安全電子交易（英文簡稱）
shareware, 共享軟體
show, 顯示
six sigma, 六個標準差
sizing handles, 尺寸（大小）控點（ｓ）
Skype, 一種電話手機與電腦皆可連線的通訊軟體
slide, 投影片
smart card, 智慧卡
smart phone, 智慧型電話
sniffer, 網路監聽
software, 軟體
software resource, 軟體資源
solid state, 固態
sort, 排序
spam, 垃圾郵件
specification, 規格（範）式算表軟體
spreadsheet software, 試算表軟體
SQL, 結構話查詢語言（縮寫）
SRAM, 靜態隨機存取記憶體
standby mode, 待命模式
star, 星狀
statement, 敘述
storage, 儲存；貯藏（量）；貯藏庫；存儲
strategy, 策略；戰略
structure, 結構化
swapping, 交換；交換技術（多用餘記憶體）
switch, 交換器
system, 系統
systems specification, 系統規格
table, 表格
task, 工作；任務
TB, 兆位元組（縮寫）
TCP, 傳輸控制協定（英文簡稱）
TCP/IP, 傳輸控制協定／網路協定
technical feasibility, 技術可行性
technology, 科技；技術；工藝
telecommunication media, 電信通訊媒體
telecommunication network, 電信通訊網路
telecommunication software, 電信通訊軟體
telnet, 遠端登入
terabyte, 兆位元組（ＴＧ）；太拉位元組
terminal, 終端機
text, 文字
textbox, 文字方塊
THz, 兆赫茲（英文簡稱）
timer, 計時器
transistor, 電晶體
transparency, 透明度；幻燈片
TRUE, 真
unicode, （標準）萬國碼
upstream 或, 升級；上升
upload, 上傳
upstream, 上游的；向上串流的
URL, 一致性資源定位器；統一資源位址
USB, 萬用序列匯流排（英文簡稱）
user name, 用戶名稱
utility, 工具程式或公用程式
value chain model, 價值鏈模型
variable, 變數
vector, 向量
virtual, 虛擬的
virus, 病毒
visualization, 視覺化；形象化
VOD, 隨選視訊系統（英文簡稱）
VoIP, 透過 IP 做語音傳送
WAN, 廣域網路（英文簡稱）
warehouse, 倉儲；倉庫
webcam, 網路攝像機
weblog, 網誌；網站的紀錄
WEP, 有線等效加密（協定）（的英文簡稱）
wiki, 維基（百科全書）
window, 視窗
Windows, 微軟公司開發的作業系統
wireless, 無線
wireless LAN, 無線區域網路（LAN）
wireless technology, 無線科技
wizard, 精靈
word processing, 文字（書）處理
worm, 蠕蟲
WWW, 全球資訊網（的英文簡稱）
XML, 延伸性標示語言
YouTube, 一種手機與電腦皆可連線的專門放影片的軟體
